address,authDate,compAuthId,compBizNo,compName,compRegNo,compTel,presidentName,product,rnum,compTypeNm,compMgrNo,cancelDate,compCert
"인천광역시 미추홀구 남주길 150 주안상가 2층(주안동, 힐스테이트 푸르지오 주안) 219호 ~ 226호",2026-01-19,9628,128-95-13041,서울튼튼재활의학과의원,제2026-002호,032-866-6688,오현승,의료업,17,일반,,,
부산광역시 사상구 사상로 208-1 1203호 (괘법동),2026-01-19,9624,859-87-03545,주식회사 푸른숲컴퍼니,제2026-001호,010-7666-9096,정수진,"교육서비스, 도매 및 소매업",18,자회사,,,
"전북특별자치도 전주시 덕진구 만성중앙로 54-33, 제1동 601-4호",2015-07-30,9595,324-82-00687,(사)한마음장애인복지회 하늘복지사업단,제2025-400호,041-583-8815,김용호,서비스업(건물위생관리업 및 소독업),19,,,,
"강원특별자치도 원주시 능라동길 61, 정한타워 3층 5층",2025-12-30,9608,224-91-24402,다온재활의학과의원,제2025-141호,033-746-7500,"김정문, 박태준, 유문기",보건업(재활의학과),20,일반,,,
경기도 하남시 조정대로 35,2016-11-30,9647,275-82-00027,한국선원장애인복지협회 안전사업단,제2025-140호,010-3232-7286,이창교,의료업,21,,,,
"광주광역시 서구 상무평화로 78, 3&#126;5층",2025-12-30,9607,602-96-69166,서울상무정형외과의원,제2025-140호,062-376-8000,최성우,보건업(정형외과),22,일반,,,
"서울특별시 금천구 벚꽃로24길 26, 205호",2025-12-30,9606,387-87-03598,(주)밸링크,제2025-139호,02-6958-8183,이한울,"도매업(복사용지, 화훼, 포장 등)",23,,,,
부산광역시 금정구 장전동 643-262,2025-12-30,9605,450-87-03300,주식회사 마이크로포인트,제2025-138호,051-710-3088,진주영,자동차 부품 생산,24,,,,
"울산광역시 중구 성안14길 70, 1층(성안동)",2025-12-23,9604,154-87-03246,(주)황금유통센터,제2025-137호,-,이홍,식자재 유통업,25,,,,
"울산광역시 중구 성안14길 70, 2층",2025-12-23,9603,401-88-02534,주식회사 우주푸드,제2025-136호,-,김지혜,식자재유통업,26,,,,
"서울특별시 동작구 현충로 75, 301호(흑석동)",2025-12-23,9602,526-93-01032,올본신경외과의원,제2025-135호,02-6484-8100,이정현,보건업(신경외과),27,,,,
"경기도 군포시 광정로 80, 1301호",2025-12-23,9601,483-88-01497,(주)한국마케팅광고협회,제2025-134호,1577-9156,전슬기,서비스업(마케팅 및 광고대행업),28,,,,
경상북도 성주군 용암면 운용로 954,2025-12-23,9600,674-81-01250,(주)디와이에코,제2025-133호,054-931-9330,권금순,제조업(인조잔디 충진재),29,,,,
"경기도 남양주시 다산중앙로82번안길 118, 401&#126;411호",2025-12-23,9599,230-90-20438,다산본 정형외과 의원,제2025-132호,031-526-9715,권영우,보건업(정형외과),30,,,,
"전북특별자치도 전주시 덕진구 만성북로 51-25, 3층 3114호",2025-12-23,9598,553-88-01796,(주)다루다,제2025-131호,070-4742-7703,최성호,판촉물 디자인 및 제작,31,,choish486,,
"전라남도 순천시 해룡면 율촌산단4로 26-192, 303호",2025-12-23,9597,235-87-01474,(주)와이에이치중호,제2025-130호,061-686-5258,정상호,제조업(촉매장치),32,,,,
"전라남도 나주시 우정로 106, 413(빛가람동)",2025-12-23,9596,411-81-89408,유한회사 삼환,제2025-129호,062-974-4100,김환욱,제조업(통신장비 등),33,,,,
"울산광역시 울주군 언양읍 방천4길 5-2, 1층",2025-12-15,9593,141-82-81125,사단법인 녹색향기,제2025-128호,-,최영옥,제조업(화장지),34,,,,
제주특별자치도 서귀포시 토평공단로 155번길 9,2025-12-15,9592,398-14-00772,제광산업,제2025-127호,064-733-9951,이선이,"서비스업(세탁, 호텔린넨)",35,,,,
경기도 고양시 일산동구 견달산로 384,2025-12-15,9591,548-81-04093,(주)썬누리에너지,제2025-126호,-,정혜윤,"제조업(열선, 온열장치)",36,,,,
"경기도 군포시 공단로 140번길 27, 1층(당정동, 군포LS R&amp;D센터)",2025-12-15,9590,591-81-03593,누리이음(주),제2025-125호,02-2189-9122,김진구,서비스업(창작예술 및 여가관련),37,,,,
부산광역시 부산진구 범일로 154번길 33 ,2016-11-30,9646,606-82-10466,한국선원장애인복지협회 환경사업단,제2025-124호,051-315-4863,오성운,투명 홍수방호벽 설치,38,일반,kmju73,,
서울특별시 강남구 역삼로 310 한솔필리아 210호,2025-12-08,9588,445-94-01953,용인안마지압원강남점,제2025-123호,02-557-7275,배광용,"배전반 조립, 환경미화",39,,massage24,,
"서울특별시 중랑구 사가정로49길 53, 녹색병원 2층",2025-12-08,9587,308-92-02042,녹색치과의원,제2025-122호,02-491-2828,김효언,보건업(치과),40,,,,
경기도 화성시 봉담읍 효행로 250,2025-12-08,9586,425-87-04088,(주)행복나무,제2025-121호,031-222-1182,노균영,서비스업,41,,,,
"대전광역시 유성구 북유성대로 303, 2층",2025-12-08,9585,479-21-01272,반석위치과,제2025-120호,042-861-5252,"김대훈, 최정구",보건업(치과),42,,,,
"경상북도 구미시 송정대로 99, 113호",2025-12-08,9584,256-87-03090,(주)해온환경,제2025-119호,-,오영훈,시설유지관리 서비스업,43,,haeon1102,,
경상북도 영천시 오미동 1088번지,2025-12-08,9583,513-18-42025,구미비닐,제2025-118호,054-482-0038,김동철,제조업(산업용 비닐),44,,,,
"전북특별자치도 익산시 동서로 63길 4, 202호(어양동)",2025-12-08,9582,403-81-32904,(주)홍석,제2025-117호,063-835-6530,송진호,제조업(cctv),45,,,,
"서울특별시 영등포구 여의공원로 101, 706 비",2025-11-25,9581,105-87-87467,(주)오렌지원,제2025-116호,02-1522-0521,한철수,소프트웨어개발 및 공급업,46,,,,
전라남도 영광군 대마면 전기차1로 173,2025-11-25,9580,717-81-02013,(주)엠에스산전,제2025-115호,061-351-1193,김한울,"제조업(플라스틱, 선, 봉, 관 등)",47,,,,
"대전광역시 서구 대덕대로 199, 8층",2025-11-25,9579,884-88-03515,주식회사 블룬,제2025-114호,-,오영훈,"서비스업(시설관리, 청소)",48,,,,
"서울특별시 금천구 가산디지털1로 142, 813호(가산동)",2025-11-25,9578,131-86-37300,주식회사 디옵티멀그린,제2025-113호,02-714-4234,노재영,서비스업(자동차 세차 등),49,,,,
"서울특별시 성동구 아차산로17길 48, 808호",2025-11-25,9577,495-86-00629,(주)더에코,제2025-112호,-,김단아,제조 및 판매업(세정제),50,,,,
"경기도 성남시 분당구 돌마로 482, 4층(서현동)",2025-11-25,9576,422-96-01478,서울기운찬정형외과,제2025-111호,031-707-1111,이기웅,보건업(정형외과),51,,,,
서울특별시 노원구 동일로 1009-9,2025-11-17,9575,294-87-02623,(주)휴빌스365스쿨,제2025-110호,02-9764-7707,지영길,"서비스업, 건설, 도소매업(청소, 용역, 소독)",52,,,,
"경기도 부천시 상동로 87, 704호, 705호(상동, 가나베스트타운 쓰리)",2025-11-17,9574,214-91-32545,위베스트내과의원,제2025-109호,032-245-8800,김재웅,보건업(내과),53,,,,
"경기도 시흥시 광석천길 18, 1층 106, 107, 108호(광양프런티어밸리8차)",2025-11-17,9573,899-81-03594,깔끔시스템(주),제2025-108호,031-314-6082,김세희,서비스업(식판세척),54,,,,
부산광역시 사상구 낙동대로 1292번길 33,2025-11-17,9572,606-33-07449,지엔통상,제2025-107호,051-714-5376,윤철희,제조업(NBR장갑),55,,gn5376,,
"서울특별시 강북구 솔샘로 239, 2층(미아동)",2025-11-17,9571,768-99-01389,강북바른정형외과의원,제2025-106호,02-6224-2000,송성훈,보건업(정형외과),56,,,,
"경기도 고양시 일산서구 고양대로 666, 상가동 D201&#126;205호",2025-11-13,9570,759-95-01539,일산척정형외과의원,제2025-105호,031-876-6666,김동균,보건업(정형외과 등),57,,,,
"서울특별시 금천구 가산디지털1로 25, 1505-1호(가산동, 대륭테크노타운 17차)",2025-11-13,9569,897-86-01877,(주)오픈유아이,제2025-104호,02-857-3095,이권희,자료처리업,58,,,,
"서울특별시 노원구 동일로 203가길 29, 207&#126;212호",2025-11-13,9568,243-95-00262,연세우리안과,제2025-103호,02-974-7582,이규호,보건업(안과),59,,,,
"서울특별시 양천구 안양천로 1131, 11층 1107호(목동)",2025-11-13,9567,507-87-03232,(주)앱코퍼블릭,제2025-102호,02-6959-4340,오광근,LED안내전광판 제조업,60,,,,
부산광역시 강서구 녹산화전로 32(송정동),2025-11-13,9566,572-29-00258,씨.티(C.T),제2025-101호,051-971-9091,진석우,기타 목재 가구 제조업,61,,,,
전라남도 광양시 광양읍 초남2공단2길 40,2025-11-13,9565,893-81-00056,(주)섬진크린,제2025-100호,061-794-2545,김원호,세탁업,62,,,,
"경기도 화성시 상신하길로298번길 7-21 1동 507호&#126;510호 2동 506,507,509호 일부(7-23번기)",2025-11-13,9564,132-45-01253,향남드림치과의원,제2025-099호,031-366-2526,문인성,보건업(치과),63,,,,
"경기도 화성시 동탄순환대로 20길 118, 우성스타파크B동 4층",2025-11-13,9563,619-95-03957,서울바른정형외과의원,제2025-098호,031-8055-8858,김종민,보건업(정형외과),64,,,,
경기도 파주시 문산읍 방촌로 1695-21 2층 211호,2025-10-31,9562,140-88-03507,주식회사 행복나눔,제2025-097호,031-954-3670,유명곤,"카페, 일반음식점, 수경재배 (커피 등)",65,,,,
"경기도 파주시 중앙로 328, 9층 905&#126;908호",2025-10-31,9561,127-87-03282,주식회사 브라보비버파주,제2025-096호,031-948-1722),김영민,도소매업(포장 및 충전업),66,,,,
경남 함안군 칠원읍 원서로 139-21,2025-10-31,9560,608-08-79632,보경,제2025-095호,055-587-3275,배상곤,제조(금속 부품/방위산업 제품),67,,,,
대구광역시 중구 공평로 6 빌리브프리미어 2층,2025-10-31,9559,611-90-44094,참마취통증의학과,제2025-094호,053-427-8900,김준우,보건업 (통증의학과),68,,,,
"경기도 김포시 김포한강10로133번길 107, 씨동 843호",2025-10-31,9558,442-88-03441,주식회사 지플랜,제2025-093호,-,박수양,"사무 지원, 광고 비디오물 제작, 컴퓨터 프로그램 등",69,,,,
"충청북도 제천시 명륜로 81 703호(의림동, 예건빌딩)",2025-10-31,9557,308-81-45031,(주)지강산업,제2025-092호,043-215-4800,나명수,"건설업, 부동산업",70,,,,
"경기도 부천시 소사로 250, 상우빌딩 4층",2025-10-31,9556,214-91-32545,본누리정형외과의원,제2025-091호,032-231-5000,박준식,보건업(정형외과),71,,,,
"경기도 군포시 산본천로 62, 지102호&#126;지118호(산본동, 인베스텔)",2025-10-31,9555,731-01-01696,잘해주는치과의원,제2025-090호,031-341-2288,고범진,보건업(치과),72,,,,
인천광역시 서구 가정로 77번길 28,2025-10-31,9554,823-86-03078,(주)이푸,제2025-089호,070-4762-5400,김재준,샤워기 필터 및 고체방향제 등 제조업,73,,,,
"경기도 화성시 안녕남로 103, C동 1층(안녕동)",2025-10-31,9553,416-87-03294,(주)이음,제2025-088호,-,조명숙,서비스업(식기세척),74,,,,
부산광역시 사하구 장평로15번길 1,2025-10-31,9552,783-88-03212,주식회사 신흥이엔지,제2025-087호,051-817-6455,이광호,제조업(커튼),75,,,,
경기도 남양주시 진접읍 경복대로512번길 27-1,2025-10-31,9551,557-86-03661,주식회사 다솔원,제2025-086호,031-550-6090,김동혁,"미곡, 잡곡 도정 및 생산",76,,,,
서울특별시 강남구 선릉로121길 5,2025-10-31,9550,467-88-00370,(주)인터오리진아이엔씨,제2025-085호,070-4188-0322,오영근,화장품 등 전자상거래업,77,,Interohrigin,,
"인천광역시 서구 중봉대로 490, 947&amp;#126;948호",2025-10-16,9549,530-87-03552,(주)올모인천,제2025-084호,032-272-5152,김현종,소매업(예술품 및 골동품),78,,olmoincheon,,
대전광역시 서구 대덕대로 175번길 16 7&#126;9,2025-10-16,9548,847-43-00027,효안과의원,제2025-083호,02-486-5050,이효,보건업(안과),79,,,,
"전북특별자치도 군산시 칠성로 186, 1층(소룡동)",2025-10-16,9547,510-88-03273,(주)행복합니다,제2025-082호,063-456-6539,이경은,도매 및 소매업(커피박 재활용 제품 등),80,,,,
"경기도 하남시 하남대로 947, A동 8층 814, 815호",2025-10-16,9546,351-81-03689,(주)하나별,제2025-081호,-,윤시용,세척업(식판),81,,,,
"인천광역시 연수구 하모니로 158, A동 501호",2025-10-16,9545,736-28-00952,잇츠미성형외과의원,제2025-080호,032-851-1103,허준,"보건업(성형외과, 피부과)",82,,,,
"인천광역시 부평구 부평문화로 55, 2층 6층",2025-10-16,9544,774-94-00376,부평그린마취통증의학과의원,제2025-079호,032-515-8875,박정우,의료업,83,,,,
경상북도 성주군 용암면 사곡1길 10,2025-10-16,9543,692-87-01212,농업회사법인 ㈜지오,제2025-078호,054-932-1101,남승하,제조업(단미사료 및 애견간식 등),84,,goodgio,,
"서울특별시 송파구 송이로 150, 6층",2025-10-01,9542,122-82-06921,(사)전국산재장애인단체연합회,제2025-077호,02-431-1030,권영현,"제조업, 서비스업(미화)",85,,iima2025,,
"경기도 평택시 안중읍 서동대로 1742, 라동",2025-10-01,9541,554-81-03347,(주)함께누리,제2025-076호,-,김수경,"서비스(식기세척, 렌탈)",86,,,,
충청북도 음성군 소이면 소이로 259-16,2025-10-01,9540,889-86-01861,농업회사법인 ㈜나눔,제2025-075호,043-750-7670,이승호,농산물 가공 도소매업(김치류),87,,,,
세종특별자치시 전의면 삼성당1길 52-12,2025-10-01,9539,307-81-29867,㈜두레마을,제2025-074호,044-8688-8978,김영도,"서비스업(청소 위생용역, 소독방역 등)",88,,dureclean,,
"경상남도 창원시 진해구 진해대로 728번길 14, 1층",2025-10-01,9538,872-82-00134,사단법인 다원장애인복지회,제2025-073호,055-288-5200,이상식,"인쇄업, 부품조립 등",89,,,,
경상남도 김해시 생림면 생림대로 950번길6,2025-10-01,9537,622-03-36027,한울식품,제2025-072호,055-328-0553,김철범,제조업(김 제조업),90,,hanwoolfood,,
충청북도 청주시 흥덕구 옥산면 과한산업4로 205,2025-09-18,9536,699-87-03171,㈜위드원,제2025-071호,043-212-5023,진경복,"포장 및 충진업(화장품, 피부미용제품)",91,,,,
"서울특별시 도봉구 도봉로 684, 301호 (방학동)",2025-09-18,9535,792-95-01574,삼성윤정형외과,제2025-070호,02-955-7777,윤지웅,"보건업(정형외과, 신경외과)",92,,,,
"강원특별자치도 춘천시 후석로420번길 7, 107호",2025-09-18,9534,505-82-21582,(사)나누우리복지회,제2025-069호,-,박형수,"인쇄, 제작업",93,,nnwoori,,
"경기도 양주시 광적면 부흥로 847, 308-1호",2025-09-18,9533,701-82-00512,해가든 장애인협회,제2025-068호,031-837-0716,심승호,"제조업(근무복, 작업복)",94,,hgd2409,,
"경기도 수원시 팔달구 인계로 166번길 48-17 301,401,402호",2025-09-18,9532,630-07-00101,퍼스티지치과,제2025-067호,050713682888,김강열,의료업(치과),95,,,,
경기도 부천시 신흥로 413번길 54-13,2025-09-18,9531,531-87-00320,주식회사 블루기업,제2025-066호,032-653-8885,이미경,"제조업(옥외광고물, 전광판, 인쇄, 판촉물)",96,,,,
"경기도 군포시 당정로 90, 1층 105호(신라테크노빌)",2025-09-18,9530,750-81-02494,주식회사 일촌꿈터,제2025-065호,031-429-6399,임옥경,"서비스업(식판세척, 렌탈)",97,,,,
"인천광역시 부평구 부평대로 83, 401, 402, 403, 501호",2025-09-08,9529,557-96-00979,휴먼본정형외과의원,제2025-064호,032-727-7979,박해봉,보건업(정형외과),98,,,,
"광주광역시 광산구 하남산단6번로 57, 제1층제비-106호, 111호",2025-09-08,9517,146-88-03499,(주)아름다운소망,제2025-063호,062-714-3015,민미라,제조업(가방 및 기타 보호용 케이스),99,,aso2501,,
"전북특별자치도 군산시 월명로 216, 강남비리딩 3, 5층",2025-09-08,9528,401-11-73186,닥터스치과의원,제2025-062호,063-451-2875,최상문,보건업(치과),100,,,,
"부산광역시 동구 중앙대로 263, 202호",2025-08-25,9527,828-87-03444,레터스 주식회사,제2025-061호,051-714-2112,김태연,휴게음식점 운영업,101,,,,
"경상북도 김천시 혁신8로 5, 210호",2025-08-25,9526,407-81-18923,(주)대승엔지니어링,제2025-060호,054-434-4329,채윤석,제조업(상업용 및 산업용 조립식 건물),102,,,,
"경기도 용인시 기흥구 기흥로 58, B동 22층 2208, 2209호",2025-08-25,9525,170-86-03673,(주)올모용인,제2025-059호,-,정동근,제조업(예술품 및 디자인 제작),103,,,,
경기도 남양주시 오남읍 양지로138번길 15,2025-08-21,9524,615-88-03087,(주)온새미,제2025-058호,031-571-2550,김희경,"서비스(식기세척, 렌탈)",104,,,,
"경상남도 김해시 가락로 53, 605호 IS플라자오피스텔",2025-08-21,9523,605-81-68347,파워텍에너지 주식회사,제2025-057호,051-325-0012,이순도,제조업(발전기 장비 등),105,,,,
경상남도 함안군 칠원읍 용산5길 29-73,2025-08-21,9522,710-81-02574,주식회사 터치온,제2025-056호,055-586-8880,김정훈,제조업(발광형 갈매기 표지판),106,,kjh856012,,
"경기도 용인시 기흥구 동백중앙로 175, 902호",2025-08-21,9521,317-86-03189,그린도우누리(주),제2025-055호,031-8005-8987,서계현,도매 및 소매업(커피),107,,grehdnsnfl,,
제주특별자치도 서귀포시 대포로174(대포동),2025-08-21,9520,462-88-02067,주식회사 굿잡제주,제2025-054호,064-749-4564,방경욱,"제조업, 서비스업",108,,,,
"부산광역시 사하구 다대로 624, 5층",2025-07-28,9515,317-88-01910,(주)에스씨모빌리티,제2025-053호,051-703-6156,한영민,"제조업(크레인, 운동기구 등)",109,,scmobility,,
전북특별자치도 완주군 상관면 죽림편백길 54,2025-07-28,9514,429-86-03314,유한회사 더조은,제2025-052호,063-224-3100,김수연,도소매업(식료품 도소매),110,,,,
전북특별자치도 전주시 덕진구 원화전1길 57-132,2025-07-28,9513,230-82-00908,사단법인 다올장애인협회,제2025-051호,063-222-0082,유춘수,"제조업, 서비스업",111,,,,
경기도 김포시 대곶면 대명항로 205번길 30,2025-07-28,9512,137-81-19305,제일기계공업(주),제2025-050호,031-987-2434,김은지,제조업(수중펌프),112,,,,
"인천광역시 서구 도담5로 85, 1층(오류동)",2025-07-10,9511,121-81-96855,㈜대성디앤에프,제2025-049호,032-582-2100,김충신,제조업 등(일반가구),113,,,,
"인천광역시 서구 북항로 30, 501호",2025-07-10,9510,211-82-19406,사단법인 한국장애인기업진흥회,제2025-048호,031-984-0177,황영철,"제조업 등(가구, 씽크대)",114,,kdepa,,
"경기도 성남시 수정구 위레광장로 300, 5층 504&#126;505호(위례중앙타워)",2025-07-02,9497,585-95-01999,위례퍼스트정형외과,제2025-047호,-,노진영,병원업,115,,,,
"경기도 이천시 이섭대천로 1230-1, 3층(장천동)",2025-07-02,9496,113-90-69228,서울이엘치과의원,제2025-046호,031-634-2804,이동열,병원업(치과),116,,,,
"경기도 하남시 미사강변중앙로7번안길 25, D동 6층 610, 611, 612호",2025-06-24,9495,451-86-03548,주식회사 올모하남,제2025-045호,031-922-5152,김문주,도매 및 소매업(예술품 및 골동품 소매업) 등,117,,olmohanam,,
"경상남도 창원시 성산구 완암로 50, 넥스동 603호",2025-06-24,9494,289-82-00628,사단법인 장애인과 동행,제2025-044호,055-265-6250,김규형,"인쇄, 판촉물 임가공",118,,,,
"경상남도 창원시 진해구 진해대로 1042, 3층",2025-06-24,9493,180-82-00321,사단법인 경남한우리,제2025-043호,055-541-2808,조성진,"인쇄, 판촉물 임가공",119,,hanuri1004,,
경상남도 김해시 가락로176번길 13,2025-06-24,9492,166-88-03227,㈜지캡,제2025-042호,055-723-4844,윤종술,문화예술(음악공연),120,,,,
"서울특별시 중랑구 신내역로3길 40-36, A동 1007호",2025-04-01,9491,425-88-02210,주식회사 제이원상사,제2025-041호,070-4497-5095,김선숙,제조업(간판 및 광고물),121,,,,
경기도 안성시 미양면 양변리 315,2025-06-17,9490,131-30-82341,사단법인세움과다움장애인복지사업단,제2025-040호,031-8057-3060,김인숙,"제조업(배전반, 분전반, 전동기제어반 등)",122,,,,
충청남도 홍성군 은하면 은하로 184번길 111-21,2025-06-17,9489,131-30-82341,인천정공,제2025-039호,041-642-9348,권오인,"제조업(가드레일, 울타리, 케이블트레이)",123,,,,
"경기도 광명시 일직로43, B동 2202호",2025-06-09,8283,551-88-01596,(주)커넥트리,제2025-038호,1555-1460,강동주,제조업(간판 및 광고물),124,,,,
"경기도 광명시 일직로43, B동 607호",2025-06-09,7918,105-87-64066,(주)이룸시스,제2025-037호,02-2671-1142,박준호,제조업(방송장비),125,,iroomsys,,
부산광역시 사상구 사상로 425번길 52,2025-06-09,7917,863-81-01578,주식회사 비에스,제2025-036호,051-921-1215,박재원,제조업(식자재),126,,,,
경상북도 안동시 건지기길 14-35,2025-05-26,7914,508-21-91728,자원산업사,제2025-035호,054-858-1259,이대원,제조업(자동차 부품),127,,,,
경기도 광주시 새말길 92,2025-05-26,7913,129-86-66025,(주)기센코리아,제2025-034호,031-751-6195,임기섭,식품제조 가공업(커피 등),128,,,,
경상북도 포항시 남구 대이로5번길 14-3(대잠동),2025-05-26,7912,725-88-00126,(주)디에스엠알오,제2025-033호,054-232-8115,진대용,"유통, 식기세척, 커피",129,,dsmrokorea,,
대전광역시 대덕구 산업단지로 87번길 109,2025-05-16,7910,554-81-03221,(주)크린웨이브,제2025-032호,-,천선미,서비스업(다회용기 세척사업),130,,,,
강원도 삼척시 도계읍 강원남부로 1446,2025-05-16,7909,345-87-03314,에이블협동조합,제2025-031호,033-541-2252,한대연,인쇄 및 디자인 기타 임가공,131,,,,
충청북도 음성군 금왕읍 덕금로 940,2025-05-16,7908,263-87-03201,주식회사 라온유니폼,제2025-030호,043-882-3080,정순자,봉제업(작업복),132,,raonuniform,,
광주광역시 서구 죽봉대로 21-1,2025-04-28,7907,273-99-01033,서울화이트치과의원,제2025-029호,062-431-7777,하동옥,보건업(치과의원),133,,,,
"경기도 구리시 갈매순환로 166번길 45, 1층 171호",2025-04-28,7906,722-87-03321,(주)포도랩스하우징,제2025-028호,031-513-9966,박순직,"건물관리, 환경미화 용역",134,,podolaps01,,
"경기도 고양시 덕양구 통일로 140, 에이동 119호",2025-04-28,7905,282-87-03328,(주)한울재,제2025-027호,02-353-7633,전정일,인쇄업(다이어리),135,,,,
"경기도 고양시 일산동구 숲속마을1로 77, 2층",2025-04-09,1710,581-91-01660,오케이정형외과의원,제2025-026호,031-902-5555,이창욱,병원업,136,,,,
서울특별시 송파구 송이로 23길 34 (가락동),2025-04-09,1709,838-88-03415,(주)하트하트아트앤컬쳐,제2025-025호,02-430-2000,장진아,"문화공연예술기획(오케스트라, 미술품)",137,,heartanc,,
"인천광역시 서구 독정로 111, 상가1동 사회적기업1호(당하동)",2025-04-09,1708,455-87-02494,해드림산업(주),제2025-024호,032-567-7232,이현경,"제조업(인쇄업, 위생용품 등)",138,,haedream0420,,
전북특별자치도 김제시 백산면 지평선산단3길 89-13,2025-04-09,1707,234-87-00832,(주)에이스중공업,제2025-023호,063-542-2758,신이철,제조업(수처리기계장치 외),139,,acehi2017,,
대구광역시 서구 통학로38길 38(평리동),2025-04-09,1706,757-87-00714,주식회사 더해피,제2025-022호,053-256-8661,김정례,"제조업, 건설업, 도소매업(앞치마, 돗자리, 리빙용품, 캐릭터용품 등)",140,,derhappy,,
"경기도 안산시 상록구 해양3로 15, 그랑시티 시그니처타워 719호",2025-03-27,1705,172-88-02882,주식회사 휴림컴퍼니,제2025-021호,031-410-9990,이창희,"제조업(마스크, 화재대피마스크)",141,,hlc2024,,
"부산광역시 사하구 신산로 120(펜타플렉스 부산), 비1009호, 615호",2025-03-27,1702,880-88-01344,주식회사 더베럴컴퍼니,제2025-018호,070-4288-7111,김인혜,"도매 및 소매업(통신판매업), 제조업",142,,,,
부산광역시 북구 구만덕로 60번길 50,2025-03-12,1700,451-87-02323,(주)The예주,제2025-017호,051-331-9003,안정남,"제조업, 도소매업(의류 등)",143,,,,
"부산광역시 남구 황령대로 319번길 64, 1층",2025-03-12,1699,606-28-43999,쉐어모먼츠위드,제2025-016호,051-714-5315,신창렬,"제조업(인쇄물), 서비스(디자인)",144,,sjnctp,,
"서울특별시 강남구 압구정로6길 5-10, 압구정로데오스타 제4층",2025-03-12,1698,372-87-01356,(주)리비저너리,제2025-015호,070-8065-4089,박준범,제조업(친환경 의류),145,,,,
대구광역시 동구 신평로32길 8-1,2025-03-12,1697,760-81-03622,(주)꿈을나누는사람들,제2025-014호,053-961-0109,정경은,"제조업(복사용지, 화장지), 서비스업(건물위생관리업)",146,,dspeople0113,,
